Title,DOI,Journal,Published on,Policy citation count,Type,Publisher,Authors,Your tags,ORCIDs
"Impact of the COVID-19 Pandemic on Inpatient Antibiotic Use in the United States, January 2019 Through July 2022",10.1093/cid/ciad453,Clinical Infectious Diseases,1/25/2024,1,journal-article,Oxford University Press (OUP),Erin O’Leary - Centers for Disease Control and Prevention; Melinda M Neuhauser - Centers for Disease Control and Prevention; Arjun Srinivasan - Centers for Disease Control and Prevention; Heather Dubendris - Centers for Disease Control and Prevention; Amy K Webb - Centers for Disease Control and Prevention; Minn Soe - Centers for Disease Control and Prevention; Lauri A Hicks - Centers for Disease Control and Prevention; Hsiu Wu - Centers for Disease Control and Prevention; Sarah Kabbani - Centers for Disease Control and Prevention; Jonathan R Edwards - Centers for Disease Control and Prevention,,0000-0001-5383-4824; 0000-0001-7992-4748; 0000-0001-8901-1256; 0000-0002-1461-8499; 0000-0002-1738-6443; 0000-0002-2383-9357; 0000-0002-4195-7162; 0000-0002-6511-5728
"Coverage with Influenza, Respiratory Syncytial Virus, and Updated COVID-19 Vaccines Among Nursing Home Residents — National Healthcare Safety Network, United States, December 2023",10.15585/mmwr.mm7251a3,MMWR. Morbidity and Mortality Weekly Report,12/22/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Influenza, Updated COVID-19, and Respiratory Syncytial Virus Vaccination Coverage Among Adults — United States, Fall 2023",10.15585/mmwr.mm7251a4,MMWR. Morbidity and Mortality Weekly Report,12/22/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>QuickStats:</i> Age-Adjusted Percentage* of Adults Aged ≥18 Years Who Reported Their Level of Satisfaction with Life,† by Disability Status§ — National Health Interview Survey,¶ United States, 2022",10.15585/mmwr.mm7251a5,MMWR. Morbidity and Mortality Weekly Report,12/22/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
SARS-CoV-2 Rebound With and Without Use of COVID-19 Oral Antivirals,10.15585/mmwr.mm7251a1,MMWR. Morbidity and Mortality Weekly Report,12/22/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Unintentional Firearm Injury Deaths Among Children and Adolescents Aged 0–17 Years — National Violent Death Reporting System, United States, 2003–2021",10.15585/mmwr.mm7250a1,MMWR. Morbidity and Mortality Weekly Report,12/15/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Notes from the Field:</i> Transmission of Mpox to Nonsexual Close Contacts — Two U.S. Jurisdictions, May 1–July 31, 2022",10.15585/mmwr.mm7250a3,MMWR. Morbidity and Mortality Weekly Report,12/15/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>QuickStats:</i> Percentage of Women Who Smoked* Cigarettes During Pregnancy, by Race and Hispanic Origin† — National Vital Statistics System, United States, 2016 and 2022",10.15585/mmwr.mm7250a5,MMWR. Morbidity and Mortality Weekly Report,12/15/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Notes from the Field:</i> COVID-19 Pandemic-Related Changes in Blood Lead Screening — Chicago, Illinois, 2017–2022",10.15585/mmwr.mm7250a4,MMWR. Morbidity and Mortality Weekly Report,12/15/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Suicide Rates by Industry and Occupation — National Vital Statistics System, United States, 2021",10.15585/mmwr.mm7250a2,MMWR. Morbidity and Mortality Weekly Report,12/15/2023,3,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Notes from the Field:</i> Responding to the Wartime Spread of Antimicrobial-Resistant Organisms — Ukraine, 2022",10.15585/mmwr.mm7249a5,MMWR. Morbidity and Mortality Weekly Report,12/8/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Large Community Outbreak of Legionnaires Disease Potentially Associated with a Cooling Tower — Napa County, California, 2022",10.15585/mmwr.mm7249a1,MMWR. Morbidity and Mortality Weekly Report,12/8/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Use of Inactivated Polio Vaccine Among U.S. Adults: Updated Recommendations of the Advisory Committee on Immunization Practices — United States, 2023",10.15585/mmwr.mm7249a3,MMWR. Morbidity and Mortality Weekly Report,12/8/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>QuickStats:</i> Average Number of Stroke* Deaths per Day, by Month and Sex — National Vital Statistics System, United States, 2021",10.15585/mmwr.mm7249a7,MMWR. Morbidity and Mortality Weekly Report,12/8/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"<i>Notes from the Field: </i>Undiagnosed Tuberculosis During Pregnancy Resulting in a Neonatal Death — United States, 2021",10.15585/mmwr.mm7249a4,MMWR. Morbidity and Mortality Weekly Report,12/8/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
"Progress in Immunization Safety Monitoring — Worldwide, 2020–2022",10.15585/mmwr.mm7249a2,MMWR. Morbidity and Mortality Weekly Report,12/8/2023,1,journal-article,Centers for Disease Control MMWR Office,,,
